LW,100,280,0,1
MW,520,1710,0,2
160M,1800,2000,1,3
120M,2300,2495,0,4
90M,3200,3400,0,5
80M,3500,4000,1,6
75M,3900,4000,0,7
60M,5250,5450,1,8
49M,5900,6200,0,9
41M,7200,7600,0,10
40M,7000,7300,1,11
31M,9500,9900,0,12
30M,10100,10150,1,13
25M,11600,12100,0,14
EXIT,0,0,0,15
NEXT,0,1,0,16
22M,13570,13870,0,17
20M,14000,14350,1,18
19M,15100,15800,0,19
17M,18068,18168,1,20
16M,17550,17900,0,21
15M,21000,21450,1,22
13M,21450,21850,0,22
12M,24890,24990,1,24
11M,25670,26100,0,24
10M,28000,29700,1,26
CB,26965,27600,0,27
4M,50000,54000,1,28
AIR,118000,128000,0,30
2M,144000,148000,1,29
EXIT,0,0,0,15
NEXT,0,1,0,16
70CM,430000,440000,1,31
AIR2,119500,123000,0,32
WBFM,88000,108000,0,33
USR,10000,10100,0,34
USR,15000,15100,0,35
USR,20000,20100,0,36
USR,25000,25100,0,37
USR,30000,30100,0,38
USR,35000,35100,0,39
USR,40000,40100,0,40
USR,45000,45100,0,41
USR,50000,50100,0,42
USR,55000,55100,0,43
USR,60000,60100,0,44
USR,65000,65100,0,45
EXIT,0,0,0,15
