Title           , Frequency, Band Start, Band End, Mode, AGC Speed, Frequency Step, bandwdth
CB SSB          ,27455000,0,30000000, USB, VERY SLOW, 1kHz, Normal
MW Broadcast    ,870000,531000,1602000,  AM, VERY SLOW, 5kHz, Normal
MW Broadcast2   ,910000,531000,1602000,  AM, VERY SLOW, 5kHz, Normal
SW        120m  ,2300000,2300000,2495000,  AM, VERY SLOW, 5kHz, Normal
SW         90m  ,3200000,3200000,3400000,  AM, VERY SLOW, 5kHz, Normal
SW         75m  ,3900000,3900000,4000000,  AM, VERY SLOW, 5kHz, Normal
SW         60m  ,4750000,4750000,4995000,  AM, VERY SLOW, 5kHz, Normal
SW         49m  ,5900000,5900000,6200000,  AM, VERY SLOW, 5kHz, Normal
SW         41m  ,7200000,7200000,7450000,  AM, VERY SLOW, 5kHz, Normal
SW         31m  ,9400000,9400000,9900000,  AM, VERY SLOW, 5kHz, Normal
SW         25m  ,11930000,11600000,12100000, AM, VERY SLOW, 5kHz, Normal
SW         22m  ,13570000,13570000,13870000, AM, VERY SLOW, 5kHz, Normal
SW         19m  ,15100000,15100000,15800000, AM, VERY SLOW, 5kHz, Normal
SW         16m  ,17480000,17480000,17900000, AM, VERY SLOW, 5kHz, Normal
SW         15m  ,18900000,18900000,19020000, AM, VERY SLOW, 5kHz, Normal
SW         13m  ,21450000,21450000,21850000, AM, VERY SLOW, 5kHz, Normal
SW         11m  ,25670000,25670000,26100000, AM, VERY SLOW, 5kHz, Normal
MWV Radio Feda  ,11610000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Espana Ext,9690000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Habana    ,11760000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Brazil.Amazonia ,11780000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Marti     ,11860000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Marti     ,11930000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Marti     ,13570000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Praha Int.,17790000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Habana    ,11950000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
Radio Inconfid. ,15190000,000000,30000000,   AM,VERY SLOW, 1kHz, Normal
SHANNON VOLMET  ,5505000,5480000,5730000,  USB, SLOW, 10Hz, Normal
SHANNON VOLMET 2,13264000,5480000,5730000,  USB, SLOW, 10Hz, Normal
Trenton Volmet  ,15034000,000000,30000000,   USB, SLOW, 1kHz, Normal
RAF Volmet      ,11253000,000000,30000000,   USB, SLOW, 1kHz, Normal
US CG Weather   ,8502000,000000,30000000,    USB, SLOW, 1kHz, Normal
US CG Weather   ,12788000,000000,30000000,   USB, SLOW, 1kHz, Normal
US CG Weather   ,13089000,000000,30000000,   USB, SLOW, 1kHz, Normal
CENAMER         ,8108000,000000,30000000,   USB, SLOW, 1kHz, Normal
CENAMER         ,10024000,000000,30000000,   USB, SLOW, 1kHz, Normal
CENAMER         ,11396000,000000,30000000,   USB, SLOW, 1kHz, Normal
CENAMER         ,13297000,000000,30000000,   USB, SLOW, 1kHz, Normal
10m SSB         ,28450000,28300000,29000000, USB, SLOW, 100Hz, Normal
12m SSB         ,24931000,24931000,24990000, USB, SLOW, 100Hz, Normal
15m SSB         ,21151000,21151000,21450000, USB, SLOW, 100Hz, Normal
17m SSB         ,18111000,18111000,18168000, USB, SLOW, 100Hz, Normal
20m SSB         ,14101000,14101000,14350000, USB, SLOW, 100Hz, Normal
40m SSB         ,7060000,7060000,7200000,  LSB, SLOW, 100Hz, Normal
80m SSB         ,3620000,3620000,3800000,  LSB, SLOW, 100Hz, Normal
160m SSB        ,1843000,1843000,2000000,  LSB, SLOW, 100Hz, Normal
10m CW          ,28200000,28000000,28070000, CW, SLOW, 10Hz, Normal
